"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","87255","Urunlerin Kategorisel Aranması {""Kategori"":""Süt, Kahvaltılık"",""AltKategori"":""Peynir""}","","Thu Oct 24 01:59:27 TRT 2024","passed","Thu Oct 24 02:00:54 TRT 2024","","4-Urunlerin Kategorisel Aranması","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Süt, Kahvaltılık"",""AltKategori"":""Peynir""}"
"","91810","Urunlerin Kategorisel Aranması {""Kategori"":""Bebek Dünyası"",""AltKategori"":""Bebek Bezi, Islak Havlu, Alt Açma""}","","Thu Oct 24 02:00:55 TRT 2024","passed","Thu Oct 24 02:02:27 TRT 2024","","4-Urunlerin Kategorisel Aranması","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Bebek Dünyası"",""AltKategori"":""Bebek Bezi, Islak Havlu, Alt Açma""}"
"","37240","Ürün arama ve sepete ekleme {""urun"":""Makarna"",""index"":""3""}","","Thu Oct 24 02:06:48 TRT 2024","passed","Thu Oct 24 02:07:25 TRT 2024","","5-Ürün arama ve sepete ekleme @current","5-Ürün arama ve sepete ekleme @current","Ürün arama ve sepete ekleme {""urun"":""Makarna"",""index"":""3""}"
"","93434","Urunlerin Kategorisel Aranması {""Kategori"":""Kağıt, Kozmetik"",""AltKategori"":""Bakım Ürünleri ve Epilasyon""}","","Thu Oct 24 02:02:27 TRT 2024","passed","Thu Oct 24 02:04:00 TRT 2024","","4-Urunlerin Kategorisel Aranması","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Kağıt, Kozmetik"",""AltKategori"":""Bakım Ürünleri ve Epilasyon""}"
"","37112","Ürün arama ve sepete ekleme {""urun"":""Simit"",""index"":""2""}","","Thu Oct 24 02:06:11 TRT 2024","passed","Thu Oct 24 02:06:48 TRT 2024","","5-Ürün arama ve sepete ekleme @current","5-Ürün arama ve sepete ekleme @current","Ürün arama ve sepete ekleme {""urun"":""Simit"",""index"":""2""}"
"","37164","Ürün arama ve sepete ekleme {""urun"":""Yumurta 15"",""index"":""4""}","","Thu Oct 24 02:07:26 TRT 2024","passed","Thu Oct 24 02:08:03 TRT 2024","","5-Ürün arama ve sepete ekleme @current","5-Ürün arama ve sepete ekleme @current","Ürün arama ve sepete ekleme {""urun"":""Yumurta 15"",""index"":""4""}"
"","65726","Sepetim Sayfası","","Thu Oct 24 02:08:03 TRT 2024","passed","Thu Oct 24 02:09:09 TRT 2024","","6-Sepetim Sayfası","6-Sepetim Sayfası","Sepetim Sayfası"
"","21679","Login","","Thu Oct 24 01:56:20 TRT 2024","passed","Thu Oct 24 01:56:42 TRT 2024","","1-Login","1-Login","Login"
"","92650","Urunlerin Kategorisel Aranması {""Kategori"":""Meyve, Sebze"",""AltKategori"":""Meyve""}","","Thu Oct 24 01:57:54 TRT 2024","passed","Thu Oct 24 01:59:26 TRT 2024","","4-Urunlerin Kategorisel Aranması","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Meyve, Sebze"",""AltKategori"":""Meyve""}"
"","37233","Devam eden ve tamamlanan kampanyalar sayfaları","","Thu Oct 24 01:57:16 TRT 2024","passed","Thu Oct 24 01:57:53 TRT 2024","","3-Kampanyalarım-Devam eden ve tamamlanan kampanyalar sayfaları","3-Kampanyalarım-Devam eden ve tamamlanan kampanyalar sayfaları","Devam eden ve tamamlanan kampanyalar sayfaları"
"","36707","Ürün arama ve sepete ekleme {""urun"":""Domates"",""index"":""2""}","","Thu Oct 24 02:05:34 TRT 2024","passed","Thu Oct 24 02:06:10 TRT 2024","","5-Ürün arama ve sepete ekleme @current","5-Ürün arama ve sepete ekleme @current","Ürün arama ve sepete ekleme {""urun"":""Domates"",""index"":""2""}"
"","33334","Proilim ve Çıkış","","Thu Oct 24 01:56:43 TRT 2024","passed","Thu Oct 24 01:57:16 TRT 2024","","2- Profilim Kontrolleri ve Çıkış","2- Profilim Kontrolleri ve Çıkış","Proilim ve Çıkış"
"","50298","Sepeti Boşalt Fonksiyonu","","Thu Oct 24 02:09:09 TRT 2024","passed","Thu Oct 24 02:10:00 TRT 2024","","7-Sepeti Boşalt","7-Sepeti Boşalt","Sepeti Boşalt Fonksiyonu"
"","92824","Urunlerin Kategorisel Aranması {""Kategori"":""Ev, Yaşam"",""AltKategori"":""Kırtasiye""}","","Thu Oct 24 02:04:01 TRT 2024","passed","Thu Oct 24 02:05:33 TRT 2024","","4-Urunlerin Kategorisel Aranması","4-Urunlerin Kategorisel Aranması","Urunlerin Kategorisel Aranması {""Kategori"":""Ev, Yaşam"",""AltKategori"":""Kırtasiye""}"
